"planet_key"|"PLANET"|"Star_idx"|"Mass"|"Density"|"Relative Radius"|"type_terrain"|"type of climate"
36|"Mouhoun Prime"|8814|0,85|1,564|0,82|"sea:grassland"|"rocky:windy:humid"
37|"Mouhoun Tertial"|8814|4,27|0,857|1,71|"fungus forest:plateau:swamp:rock arche:desert:acid pool"|"superheated:artificial temperate:frigid:tropical"
38|"Uchū Harpian"|3530|2,94|1,007|1,43|"urban:grassy hill:bog:rock arche:mountain:savanna"|"hot:superheated:temperate:tropical"
39|"Biham Poseidian"|8424|2,28|1,143|1,26|"swamp"|"humid:temperate:tropical"
40|"Jabbah Sextant"|8555|8,04|0,912|2,07|"jungle"|"frigid:subartic:tropical:arid:temperate"
41|"Jabbah Octal"|8555|1,29|1,029|xx|"cliff:city:tundra"|"hot:artic:temperate:windy"
42|"Jabbah Decimal"|8555|2,64|0,796|1,49|"field:grassland"|"temperate"
43|"Astral Nexus Upsilon"|7103|2,23|1,3|1,2|"city:river:ocean"|"temperate:artic:subartic:rocky:frigid:tropical"
44|"Astral Nexus Alpha"|7103|2,63|1,518|1,2|"acid pool:field:plateau:ice cave:fungus forest"|"artic:artificial temperate:humid"
45|"Quasar Nova Jiu"|9675|0,65|1,136|0,83|"vine:reef:ocean:island"|"arid:windy:tropical:subartic:temperate:hot"
46|"Quasar Nova Shi"|9675|0,99|0,961|1,01|"canyons"|"artificial temperate:rocky:windy"
47|"Sargas Secant"|6402|xx|0,944|1,8|"cave:sea:island:acid pool:reef:urban:valley"|"artic:subartic:hot:frozen:frigid"
48|"Sargas Undecimal"|6402|7,92|0,869|2,09|"savanna:sea:river:plain:vine:lava river"|"hot:rocky:frozen:subartic:tropical"
49|"Umbral Silence Septimal"|2828|1,07|1,35|0,93|"jungle:glacier:rocky canyon:verdant:rocky island:urban"|"frigid:artificial temperate:hot:superheated:temperate:humid:subartic"
50|"Thunderhoof Olympios"|9762|1,46|1,17|1,08|"rock arche"|"superheated:rocky:frigid:artic:arid:artificial temperate"
51|"Heliconian Whispers XV"|7661|5,56|0,565|2,14|"barren:fungus forest:desert:swamp:island:vine:canyons"|"frozen:artificial temperate:superheated:tropical:arid"
52|"Mothallah Ba"|788|1,48|0,929|1,17|"acid pool:plain:rainforest:sea:fungus forest:rocky canyon:vine:cave"|"artic:frigid:hot:subartic:humid:tropical"
53|"Mothallah Jiu"|788|0,84|1,129|0,91|"jungle:rock arche:ice canyon:lakes"|"superheated:artic:artificial temperate:tropical"
54|"Tupã XXIV"|4256|0,54|0,76|0,89|"tundra:field:lava river:cave"|"tropical:subartic:arid:artic:hot"
55|"Tupã I"|4256|4,79|1,377|1,52|"hill:vine:rocky island:verdant:cityscape"|"artificial temperate:humid:subartic:rocky"
56|"Rōka Quintal"|2318|6,62|0,841|1,99|"lakes:plateau:mountain:rocky desert"|"artificial temperate:arid:windy:rocky"
57|"Rōka Duodecimal"|2318|7,23|0,967|1,96|"rainforest:urban"|"tropical:arid:frozen:frigid"
58|"Rōka Vigesimal"|2318|6,55|0,525|2,32|"cliff:lava river:volcano:plain:lakes:valley:jungle"|"arid:windy:superheated:temperate:artic:hot"
59|"Rōka Septimal"|2318|7,03|1,338|xx|"fungus forest:cityscape:savanna"|"tropical:artic:artificial temperate"
60|"Azha Titanos"|7485|2,7|1,322|1,27|"ice cave:rocky desert:savanna:valley"|"temperate:hot:frigid:rocky:artic:subartic:arid"
61|"Azha Cerberian"|7485|7,99|0,883|2,08|"river:rainforest:savanna:ocean:vine"|"tropical:frigid:frozen:artificial temperate:humid:windy"
62|"Azha Aphroditos"|7485|7,5|0,826|2,09|"ocean:urban:ice cave"|"humid:temperate:windy:frigid:artic"
63|"Azha Hecatean"|7485|1,83|0,781|1,33|"river:acid pool"|"superheated:tropical"
64|"Chara I"|6448|2,13|1,165|1,22|"rock arche:verdant:city"|"windy:artic:superheated:subartic"
65|"Tislit Asclepian"|7540|2,65|0,805|1,49|"field"|"arid:artificial temperate"
66|"Citadelle Octal"|6586|7,52|1,131|1,88|"urban:jungle:vine:sea:toxic cloudsea:cliff"|"humid:temperate:frozen:arid:subartic:rocky"
67|"Citadelle Tertial"|6586|2,67|0,661|1,59|"city:rock arche:volcano"|"rocky:superheated"
68|"Citadelle Sextant"|6586|3,19|0,834|1,56|"mountain:grassy hill:jungle:lakes"|"humid:tropical:artic:rocky"
69|"Phantasma Vigesimal"|705|7,1|0,842|xx|"verdant:lakes:hill:acid pool:rocky canyon:tundra:ice cave:cityscape"|"hot:frigid:temperate:subartic:artic"
70|"Phantasma Quartal"|705|2,57|0,997|1,37|"valley"|"temperate:tropical"
71|"Algol Pi"|379|xx|1,287|1,15|"glacier:city:valley:verdant:hill"|"artic:superheated:rocky:frozen"
72|"Baekdu Secant"|2201|1,09|1,677|0,87|"sea:volcano:vine"|"artificial temperate:hot:rocky:frigid:superheated"
73|"Baekdu Undecimal"|2201|0,57|1,57|0,71|"ash:rocky desert:sea:rainforest:rocky canyon:jungle"|"artificial temperate:hot:frigid:tropical:humid"
74|"Alioth Hadean"|6850|2,42|1,016|1,34|"mountain:valley:jungle:plateau:toxic cloudsea"|"tropical:arid:superheated:artic"
75|"Titanic Mirage Delta"|9823|8,76|1,45|1,82|"vine:plain"|"artic:subartic:humid:windy"
76|"Titanic Mirage Beta"|9823|0,61|0,84|0,9|"cave:jungle:desert:rocky island:plain:toxic cloudsea"|"tropical:arid:artificial temperate:artic"
77|"Sakura Mirage XVI"|9096|4,29|1,49|1,42|"field:rocky canyon:verdant:ocean"|"subartic:frigid:artificial temperate:arid"
78|"Helixar Jiu"|3562|4,7|1,236|1,56|"river"|"tropical:frigid:hot"
79|"Arkab Posterior Qi"|957|2,94|1,188|1,35|"volcano"|"arid:frigid:frozen:superheated:artic"
80|"Arkab Posterior Ba"|957|4,93|0,756|1,87|"field"|"superheated:artic:arid:rocky:hot:humid:frozen"
81|"Kraz Herculean"|727|2,01|1,211|1,18|"vine:cliff:rocky desert:grassland"|"temperate:windy:artic:subartic:frozen"
82|"Kraz Nereidos"|727|xx|0,917|2,09|"canyons"|"hot:artic:superheated:temperate:humid:arid"
83|"Nile Celestial Eosian"|461|4,62|1,144|1,59|"island:reef:sinkholes"|"superheated:frigid:humid:artic:hot:artificial temperate"
84|"Nile Celestial Asclepian"|461|2,24|1,108|1,26|"mountain:volcano"|"windy:frozen:arid:artic"
85|"Stardrax Shi"|9309|3,34|1,048|xx|"volcano:ash:rocky island"|"arid:superheated:hot:temperate:windy"
86|"Stardrax Er"|9309|5,11|1,032|1,7|"river:ocean:island:sea"|"superheated:tropical:humid"
87|"Stardrax Liu"|9309|2,26|0,556|1,6|"plateau:plain"|"windy:artic:frigid:temperate"
88|"Stardrax Ba"|9309|5,65|1,039|1,76|"lakes"|"arid:humid"
89|"Nebulonix Qi"|3442|4,96|0,836|1,81|"rocky canyon:barren:mountain:plain:ocean"|"hot:frozen:humid:arid"
90|"Nebulonix Liu"|3442|8,27|1,181|1,91|"mountain:lava river:bog:acid pool:rocky desert:sea"|"superheated:tropical:frozen:hot"
91|"Luminastra Herculean"|4419|0,44|1,031|0,75|"city:plateau:ice canyon:lakes:verdant:field:volcano:cave"|"hot:temperate:artic:tropical:windy:frozen"
92|"Minchir Pi"|5459|0,79|1,082|xx|"ice canyon:tundra:grassy hill:cliff:savanna"|"arid:artic:temperate"
93|"Cosmoth Dionysios"|5799|3,77|1,193|1,47|"cityscape:rocky canyon:lava river:canyons"|"artic:superheated:artificial temperate"
94|"Sika Psi"|6409|8,46|0,755|2,24|"fungus forest:forest"|"temperate:tropical:hot:humid"
95|"Sika Mu"|6409|1,54|0,743|1,28|"glacier:urban:ash:plateau:scrubland"|"arid:frigid:superheated:rocky"
96|"Shogun's Loom Omega"|6040|2,03|1,032|1,25|"jungle:forest:cliff:ash:field"|"tropical:hot:arid:rocky:temperate"
97|"Shogun's Loom Iota"|6040|1,13|0,673|1,19|"lakes:river:swamp:glacier:ocean:tundra"|"artic:frigid:humid:subartic"
98|"Menkalinan Ba"|3771|8,46|0,983|2,05|"island:jungle"|"superheated:temperate:frigid:humid:tropical"
99|"Menkalinan Qi"|3771|7,45|1,159|1,86|"plain:rocky desert"|"frozen"
100|"Menkalinan Wu"|3771|4,23|1,164|1,54|"grassy hill:savanna"|"rocky:subartic:artificial temperate"
101|"Menkalinan Er"|3771|2,78|1,102|xx|"island:acid pool:bog:sinkholes:swamp:hill:cityscape:rocky island:reef:urban"|"artic:superheated:temperate:humid:frigid:arid:rocky"
102|"Ravenfury XVII"|5190|1,04|0,854|1,07|"plateau"|"temperate"
103|"Ravenfury XXIV"|5190|2,25|0,815|1,4|"urban:tundra:cliff"|"superheated:frozen"
104|"Palladium Shroud XVII"|1759|3,04|0,972|xx|"bog:field"|"temperate"
105|"Palladium Shroud XX"|1759|xx|1,166|1,69|"urban:grassy hill:valley:barren:glacier:hill:ice cave:sinkholes"|"artificial temperate:hot:rocky:arid:frozen:windy:artic"
106|"Palladium Shroud XVI"|1759|1,01|1,026|0,99|"urban:rock arche"|"temperate:artic"
107|"Alcyone Typhonian"|4730|5,02|0,693|1,94|"jungle:rock arche:rocky canyon:fungus forest:desert"|"arid:rocky:tropical:humid:hot"
108|"Alcyone Aetherios"|4730|8,27|0,876|2,11|"rock arche:lakes:river"|"rocky:temperate:frozen:tropical:frigid:arid"
109|"Alcyone Echoian"|4730|5,63|0,929|1,82|"reef:hill:sinkholes:jungle:acid pool:grassy hill:rocky canyon"|"artificial temperate:tropical:frozen:hot:arid"
110|"Alcyone Chimeraean"|4730|xx|1,068|1,14|"jungle:lava river"|"arid:windy:temperate:tropical:hot"
111|"Miaplacidus Tritonian"|7449|2,46|1,205|1,27|"scrubland:sinkholes"|"arid:hot:artificial temperate:frozen:windy"
112|"Miaplacidus Zephyrian"|7449|3,42|0,861|1,58|"urban:reef"|"frigid:temperate"
113|"Miaplacidus Poseidian"|7449|4,24|0,772|1,76|"city"|"arid"
114|"Quantraflux XV"|3732|1,41|1,385|1,01|"desert"|"tropical:arid:rocky"
115|"Quantraflux XXIV"|3732|1,89|0,543|1,52|"grassland:reef:swamp:fungus forest:ocean:jungle:volcano:valley"|"artificial temperate:rocky:humid:temperate:hot"
116|"Nenque VII"|3514|1,56|1,143|1,11|"cave:grassland:rocky canyon:tundra"|"subartic:humid:artificial temperate"
117|"Nenque XVI"|3514|xx|1,473|0,71|"tundra"|"frigid:superheated"
118|"Castor Nyxios"|384|3,09|0,455|1,89|"tundra:jungle:mountain:cityscape"|"subartic:windy:superheated:artic"
119|"Celestara Asclepian"|6109|2,42|1,254|1,25|"acid pool:lakes:savanna:canyons:rainforest:fungus forest:hill"|"artic:windy:tropical:rocky:temperate:superheated:frigid"
120|"Celestara Morphean"|6109|3,62|1,074|1,5|"rocky canyon:ice cave:grassland:city"|"artic:subartic:temperate:humid:frozen:artificial temperate"
121|"Celestara Psychean"|6109|3,4|0,956|1,53|"city:forest:cityscape"|"temperate:frigid:hot"
122|"Celestara Pantheon"|6109|0,35|1,161|0,67|"cityscape:rocky canyon:valley:cliff"|"temperate:frozen:artificial temperate"
123|"Chasoň IX"|4421|4,91|1,088|1,65|"ocean:grassland"|"humid:artic:superheated:subartic:frozen"
124|"Chasoň XII"|4421|2,61|1,241|1,28|"rock arche"|"temperate:frigid:artic:superheated:frozen"
125|"Chasoň XIV"|9235|1,14|0,93|1,07|"rocky desert"|"superheated:tropical:artic:arid:temperate"
126|"Radiantara XIII"|5548|7,64|0,831|2,09|"lava river"|"subartic:frozen:tropical:superheated"
127|"Radiantara XIV"|1590|2,06|0,899|1,32|"hill:forest:ocean"|"subartic:rocky:superheated:tropical"
128|"Aladfar Beta"|2573|0,78|0,979|0,93|"valley:rocky canyon:rock arche"|"artificial temperate:frozen"
129|"Astrobix Delta"|8372|2,52|1,376|1,22|"mountain"|"artificial temperate:artic"
130|"Ninja's Radiance Irisian"|3748|4,31|0,787|1,76|"ice canyon:vine"|"temperate:windy:artic:frozen"
131|"Ninja's Radiance Atlasios"|3748|2,96|1,061|1,41|"grassy hill:ocean:rainforest"|"temperate:arid:tropical:artificial temperate"
132|"Ninja's Radiance Olympios"|3748|1,01|1,287|0,92|"rocky island:tundra:glacier:rock arche:lakes"|"humid:subartic:frozen"
133|"Kiseki Expanse Si"|8534|1,27|0,868|1,14|"hill:sea:fungus forest"|"humid:tropical:hot"
134|"Kiseki Expanse San"|8534|3,94|1,329|1,44|"ash:cliff"|"subartic:arid:superheated:temperate:frozen:tropical:frigid"
135|"Solarion VII"|1846|1,27|1,301|0,99|"grassland:glacier:ice cave"|"hot:windy:humid:frigid:tropical:rocky"
136|"Solarion XX"|1846|7,5|0,612|2,31|"ice cave:rock arche"|"frozen:artic:windy:temperate"
137|"Solarion XI"|1846|4,83|0,845|1,79|"rocky island:acid pool:ocean:lava river:grassland:ice canyon:lakes"|"hot:tropical:arid:subartic:temperate:humid"
138|"Pulsar Radiance Chi"|734|1,26|1,636|xx|"rocky desert:city:ocean:rocky island"|"artificial temperate:frozen:temperate:frigid"
139|"Hikari Gaze Phi"|3533|7,71|0,94|2,02|"rocky desert:desert:lava river:grassy hill:canyons:rocky island"|"subartic:windy:arid:artificial temperate:frigid:temperate"
140|"Hikari Gaze Sigma"|3533|2,68|0,81|1,49|"verdant"|"artic:rocky:frozen"
141|"Sheratan Olympios"|1225|xx|0,869|1,73|"mountain"|"frigid:rocky:temperate:frozen"
142|"Tsuki's Beacon Gaian"|8408|7,67|1,246|1,83|"field"|"tropical:frigid:temperate:frozen:subartic:windy"
143|"Nocturne Echo XXIII"|747|4,83|0,82|1,81|"volcano:rocky canyon:rock arche:fungus forest:savanna"|"tropical:arid:artificial temperate"
144|"Adhara Undecimal"|869|0,59|0,656|0,97|"verdant:fungus forest:vine"|"subartic:hot"
145|"Adhara Secant"|869|6,42|0,644|2,15|"plain:city"|"hot:frozen:temperate"
146|"Vega Nu"|2670|8,79|0,577|2,48|"rainforest:grassland:fungus forest:ice canyon"|"humid:superheated:frozen:rocky:frigid"
147|"Vega Tau"|2670|6,47|0,831|1,98|"cityscape:rocky desert:cave"|"frozen:rocky:tropical:humid:windy"
148|"Vega Iota"|2670|8,69|1,056|xx|"sinkholes"|"superheated:arid:frozen"
149|"Dalim Nemesisian"|9029|8,41|1,267|1,88|"ice cave:grassy hill:lakes:grassland"|"rocky:windy:subartic:humid:hot:artic"
150|"Dalim Gaios"|9029|xx|0,696|2,12|"jungle:rocky canyon:verdant"|"tropical:artic:humid:frigid:frozen:rocky"
151|"Bonsai Gaze Hestian"|823|7,86|0,736|2,2|"vine:reef:canyons:lakes:island"|"subartic:rocky:windy:hot"
152|"Starglow Haven Gamma"|2307|4,68|1,022|1,66|"mountain:grassy hill"|"artificial temperate:temperate"
153|"Starglow Haven Phi"|2307|5,12|1,133|1,65|"lava river"|"frigid:rocky:temperate:hot:frozen:arid"
154|"Tenshi Echoes Pi"|6437|4,16|1,314|1,47|"rock arche:island:river:grassy hill:cityscape"|"artificial temperate:humid:temperate:tropical"
155|"Tenshi Echoes Epsilon"|6437|4,52|0,752|1,82|"sinkholes:canyons:verdant"|"rocky:subartic:superheated:artic"
156|"Starshara Tertial"|1430|1,08|0,896|xx|"ice canyon:rocky desert"|"artificial temperate:windy:subartic:temperate:artic"
157|"Starshara Secant"|1430|2,32|0,657|1,52|"field:barren:grassland:vine:river:reef:hill"|"artificial temperate:humid:frigid:subartic:frozen:arid:tropical"
158|"Starshara Duodecimal"|1430|6,51|0,823|1,99|"cityscape:rocky island:savanna"|"windy:rocky:artificial temperate:tropical"
159|"Starshara Vigesimal"|1430|6,73|0,697|2,13|"grassland:verdant:mountain:rainforest:city"|"temperate:humid:tropical"
160|"Sekhmet's Resonance Faunios"|8266|3,21|1,406|1,32|"city:valley:lava river:grassy hill:cityscape"|"humid:arid:subartic:superheated:artic"
161|"Merak Secant"|4949|0,51|0,845|0,85|"vine:acid pool:toxic cloudsea:forest"|"humid:artificial temperate:artic"
162|"Merak Quintal"|4949|7,13|0,236|3,11|"mountain:desert"|"temperate:superheated:frozen:rocky:artificial temperate"
163|"Ecliptara Nonal"|8677|xx|1,2|1,71|"grassy hill:tundra:sea:city"|"hot:subartic:arid:frigid"
164|"Ecliptara Prime"|8677|6,84|0,899|1,97|"cliff:ice cave:sinkholes:rocky canyon:glacier"|"arid:hot:tropical:frozen"
165|"Ecliptara Decimal"|8677|1,06|0,392|1,39|"toxic cloudsea:island:sinkholes"|"windy:tropical:hot:artic"
166|"Ecliptara Vigesimal"|8677|0,69|1,108|0,85|"forest:urban:ice canyon:grassy hill:hill:canyons:lava river:cityscape"|"tropical:frigid:temperate:subartic:hot:windy"
167|"Ronin's Cascade Rho"|2464|0,84|1,189|0,89|"reef:plateau"|"tropical:rocky"
168|"Ronin's Cascade Psi"|2464|1,87|0,804|1,32|"hill"|"hot:temperate:frigid:arid"
169|"Quasarion XII"|7235|5,27|0,806|1,87|"urban"|"frigid:rocky:windy"
170|"Quasarion XX"|7235|1,57|0,883|1,21|"grassy hill"|"arid:frigid:subartic:temperate:superheated"
171|"Bubup Iota"|7291|1,06|0,966|1,03|"river:rock arche:glacier"|"frozen:temperate"
172|"Rimeblade Eosian"|6030|2,27|0,82|xx|"grassland:rocky desert"|"temperate:humid"
173|"Rimeblade Typhonian"|6030|1,29|0,967|1,1|"island:vine:tundra"|"humid:rocky:temperate:superheated"
174|"Rimeblade Hadean"|6030|1,53|1,235|1,07|"scrubland"|"humid:temperate:arid:subartic:artificial temperate:frigid"
175|"Sakura Radiance Tritonian"|3321|2,96|0,566|1,74|"lakes:hill:swamp:city"|"artic:tropical:frigid:frozen"
176|"Grimclaw Prime"|1943|8,23|0,568|2,44|"cave:ice canyon:savanna"|"rocky:tropical:subartic:superheated:arid"
177|"Grimclaw Secant"|1943|0,54|1,645|0,69|"verdant:savanna"|"temperate:windy:hot"
178|"Grimclaw Octal"|1943|5,08|0,95|1,75|"lakes:river:verdant"|"subartic:arid:frigid"
179|"Chalawan XVIII"|3429|xx|1,058|0,87|"plain:vine:cliff"|"temperate:tropical:artic:windy:subartic"
180|"Koit Delta"|71|6,28|0,965|1,87|"cityscape:ocean:vine:cliff:rainforest"|"rocky:artic:humid:arid"
181|"Hotaru Ascendance Liu"|3895|2,16|0,841|1,37|"toxic cloudsea:ice canyon"|"artic"
182|"Hotaru Ascendance Qi"|3895|1,7|0,968|1,21|"city:rocky desert"|"windy:frigid:frozen"
183|"Koi's Ascendance XXI"|4707|8,78|0,883|2,15|"plateau:forest:glacier:bog:hill"|"hot:subartic:frigid:temperate"
184|"Ombria Epsilon"|9180|1,56|1,076|1,13|"plateau:vine:island:volcano:bog"|"arid:temperate:windy:superheated:frigid"
185|"Mystic Expanse San"|3942|5,37|0,709|1,96|"rocky desert"|"frigid:hot:artic"
186|"Alula Borealis XI"|6158|5,67|0,918|1,83|"sea"|"artificial temperate:frozen:windy:temperate:rocky"
187|"Ra's Echo Pegasusian"|2758|1,11|1,273|0,96|"sinkholes"|"temperate:superheated:subartic:tropical"
188|"Muspelheim Chimeraean"|5605|5,73|0,693|2,02|"acid pool"|"arid:superheated:tropical:frigid"
189|"Penumbrion II"|3520|5,25|0,98|1,75|"rocky island:mountain:toxic cloudsea:ice canyon:lakes:rock arche:glacier"|"frigid:subartic:artic:tropical:rocky"
190|"Quanticara San"|8999|5,79|0,866|1,88|"swamp:sea:forest:river:desert:fungus forest:hill:reef"|"artic:humid:artificial temperate:superheated:arid:tropical:subartic"
191|"Quanticara Si"|8999|1,75|1,185|1,14|"rock arche:canyons:island"|"rocky:artic:hot"
192|"Sāmaya Astraeos"|4397|2,94|0,542|1,76|"rock arche:cliff:ice canyon"|"subartic:frozen"
193|"Sāmaya Cerberian"|4397|3,84|1,197|1,47|"plain"|"hot:tropical:frozen"
194|"Kaminari Enigma Duodecimal"|2511|1,74|0,708|1,35|"mountain:cave"|"arid"
195|"Kaminari Enigma Decimal"|2511|8,1|1,16|xx|"jungle:jungle:barren:cityscape"|"temperate:arid:artic:tropical:superheated:artificial temperate:frozen"
196|"Kaminari Enigma Sextant"|2511|xx|0,947|1,06|"lakes"|"temperate:superheated:subartic:arid"
197|"Kaminari Enigma Nonal"|2511|3,4|0,486|1,91|"desert:canyons:plain"|"humid:arid:temperate"
198|"Cryptic Shadows Delta"|1600|5,8|1,262|1,66|"sea:lakes:ash"|"rocky:tropical:superheated"
199|"Hayabusa Nexus Omega"|439|2,39|0,934|1,37|"rainforest:field:plateau:plain"|"superheated:temperate:arid"
200|"Hayabusa Nexus Gamma"|439|4,17|1,051|1,58|"plain"|"tropical:subartic:artificial temperate:frozen"
201|"Ayame Cascade Hecatean"|6587|2,64|1,134|1,33|"reef"|"artificial temperate:superheated:arid:hot:rocky:tropical"
202|"Alkes Chimeraean"|6434|2,71|0,659|1,6|"rainforest:glacier:mountain:verdant:city:rocky island"|"subartic:humid:temperate:superheated:frigid:artificial temperate"
203|"Alkes Selenean"|6434|3,65|0,642|1,78|"ice canyon:island:ice cave:verdant:glacier"|"artic:frozen:frigid"
204|"Scarab Expanse Liu"|8447|0,96|0,916|1,02|"acid pool"|"rocky:frigid:windy"
205|"Scarab Expanse Yi"|8447|2,61|0,99|xx|"volcano:bog"|"frigid:humid:rocky:arid"
206|"Scarab Expanse Shi"|8447|7,26|1,272|1,79|"bog:acid pool:tundra"|"frozen:frigid:humid"
207|"Scarab Expanse Qi"|8447|3,16|1,063|1,44|"rainforest:ash:desert:reef"|"superheated:artificial temperate:temperate:artic:hot:frozen"
208|"Solarflarex Theta"|326|2,73|1,09|1,36|"rocky canyon:bog:valley"|"frigid:subartic:windy:temperate"
209|"Lygos Veil Si"|6585|3,38|1,311|1,37|"valley:ocean:sinkholes:ice canyon"|"superheated:windy:humid:artic"
210|"Lygos Veil San"|6585|3,85|0,644|1,82|"cave:bog:urban:mountain:jungle"|"temperate:rocky:hot:subartic"
211|"Lygos Veil Er"|6585|1,15|1,292|0,96|"desert:urban:toxic cloudsea:ocean:canyons:grassy hill"|"hot:humid:artic:rocky"
212|"Tapecue VII"|8111|7,69|1,041|1,95|"cave"|"superheated:windy:artificial temperate:rocky"
213|"Cosmara Chi"|1650|2,06|1,297|1,17|"fungus forest:grassland:field:sea"|"subartic:artic:frozen:humid:artificial temperate"
214|"Mpingo III"|4906|2,36|0,628|1,55|"ocean:hill:lakes:sinkholes"|"windy:frozen:subartic:humid:superheated:artic"
215|"Axefall Hermian"|7102|3,38|0,755|1,65|"hill:jungle:city:rocky island:forest:valley"|"temperate:humid:superheated:subartic:hot:windy"
216|"Avior XIII"|7765|5,48|0,511|2,21|"reef:river"|"frozen:humid:windy:artic:hot:temperate"
217|"Avior V"|7765|5,51|0,902|1,83|"savanna:cliff:cave:grassy hill:ice canyon:plateau:acid pool:rocky canyon"|"frigid:temperate:humid:subartic:rocky"
218|"Akatsuki Celestial Nyxios"|5985|1,18|0,756|1,16|"savanna"|"rocky:subartic:artic"
219|"Darkonium V"|3913|8,3|1,406|1,81|"hill:mountain:jungle"|"subartic:artic:superheated"
220|"Darkonium XX"|3913|3,18|0,928|xx|"island:ocean:jungle:savanna"|"subartic:hot:humid:windy"
221|"Hoshizora Seraph Vigesimal"|3605|xx|0,442|2|"urban"|"artificial temperate:humid:frozen:temperate"
